sort_order	statement_type	report_area	section_l1	section_l2	section_l3	section_l4	account_code	account_name	parent_code	parent_name	row_type	normal_balance	report_sign	is_leaf_for_calculation	formula_or_rule	notes
180	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute	213	2132	Aparate și instalații de măsurare, control și reglare	213	Instalații tehnice și mijloace de transport	ACCOUNT_LEAF	Debit	+	TRUE		
190	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute	213	2133	Mijloace de transport	213	Instalații tehnice și mijloace de transport	ACCOUNT_LEAF	Debit	+	TRUE		
200	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute		214	Mobilier, aparatură birotică, echipamente de protecție și alte active corporale		Imobilizări corporale brute	ACCOUNT_LEAF	Debit	+	TRUE		
210	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Imobilizări corporale (tangibile) brute		231	Imobilizări corporale în curs de execuție		Imobilizări corporale brute	ACCOUNT_LEAF	Debit	+	TRUE		
220	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Amortizare cumulată pentru imobilizări corporale						REPORT_GROUP	Credit	-	FALSE		
230	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Amortizare cumulată pentru imobilizări corporale		281	Amortizări privind imobilizările corporale		Amortizare cumulată pentru imobilizări corporale	ACCOUNT_GROUP	Credit	-	FALSE		Contra-activ; cont sintetic cu analitice în structură
240	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Amortizare cumulată pentru imobilizări corporale	281	2812	Amortizarea construcțiilor	281	Amortizări privind imobilizările corporale	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ
250	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Amortizare cumulată pentru imobilizări corporale	281	2813	Amortizarea instalațiilor și mijloacelor de transport	281	Amortizări privind imobilizările corporale	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ
260	Balance Sheet	Active	Active imobilizate	Imobilizări corporale (tangibile) nete	Amortizare cumulată pentru imobilizări corporale	281	2814	Amortizarea altor imobilizări corporale	281	Amortizări privind imobilizările corporale	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ
270	Balance Sheet	Active	Active imobilizate	Creanțe pe termen lung / imobilizate	Creanțe imobilizate						REPORT_GROUP	Debit	+	FALSE		
280	Balance Sheet	Active	Active imobilizate	Creanțe pe termen lung / imobilizate	Creanțe imobilizate		267	Creanțe imobilizate		Creanțe pe termen lung / imobilizate	ACCOUNT_GROUP	Debit	+	FALSE		
290	Balance Sheet	Active	Active imobilizate	Creanțe pe termen lung / imobilizate	Creanțe imobilizate	267	2678	Alte creanțe imobilizate	267	Creanțe imobilizate	ACCOUNT_LEAF	Debit	+	TRUE		
300	Balance Sheet	Active	Active curente / circulante								REPORT_GROUP	Debit	+	FALSE		
310	Balance Sheet	Active	Active curente / circulante	Stocuri nete							CALCULATED	Debit	calculated	FALSE	Stocuri brute - ajustări de valoare dacă există	
320	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute						REPORT_GROUP	Debit	+	FALSE		
330	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		301	Materii prime		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
340	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		302	Materiale consumabile		Stocuri brute	ACCOUNT_GROUP	Debit	+	FALSE		
350	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute	302	3021	Materiale auxiliare	302	Materiale consumabile	ACCOUNT_LEAF	Debit	+	TRUE		
360	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute	302	3022	Combustibili	302	Materiale consumabile	ACCOUNT_LEAF	Debit	+	TRUE		
370	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute	302	3024	Piese de schimb	302	Materiale consumabile	ACCOUNT_LEAF	Debit	+	TRUE		
380	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute	302	3028	Alte materiale consumabile	302	Materiale consumabile	ACCOUNT_LEAF	Debit	+	TRUE		
390	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		303	Materiale de natura obiectelor de inventar		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
400	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		322	Materiale consumabile în curs de aprovizionare		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
410	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		331	Produse în curs de execuție		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
420	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		332	Servicii în curs de execuție		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
430	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		341	Semifabricate		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
440	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		345	Produse finite		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
450	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		346	Produse reziduale		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
460	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		348	Diferențe de preț la produse		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
470	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		351	Materii și materiale aflate la terți		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
480	Balance Sheet	Active	Active curente / circulante	Stocuri nete	Stocuri brute		371	Mărfuri		Stocuri brute	ACCOUNT_LEAF	Debit	+	TRUE		
490	Balance Sheet	Active	Active curente / circulante	Creanțe nete							CALCULATED	Debit	calculated	FALSE	Creanțe brute - ajustări pentru deprecierea creanțelor	
500	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute						REPORT_GROUP	Debit	+	FALSE		
510	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		409	Furnizori - debitori		Creanțe brute	ACCOUNT_GROUP	Debit	+	FALSE		
520	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute	409	4091	Furnizori - debitori pentru cumpărări de bunuri de natura stocurilor	409	Furnizori - debitori	ACCOUNT_LEAF	Debit	+	TRUE		
530	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute	409	4092	Furnizori - debitori pentru prestări de servicii	409	Furnizori - debitori	ACCOUNT_LEAF	Debit	+	TRUE		
540	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		411	Clienți		Creanțe brute	ACCOUNT_GROUP	Debit	+	FALSE		
550	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute	411	4111	Clienți	411	Clienți	ACCOUNT_LEAF	Debit	+	TRUE		
560	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute	411	4118	Clienți incerți sau în litigiu	411	Clienți	ACCOUNT_LEAF	Debit	+	TRUE		
570	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		413	Efecte de primit de la clienți		Creanțe brute	ACCOUNT_LEAF	Debit	+	TRUE		
580	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		418	Clienți - facturi de întocmit		Creanțe brute	ACCOUNT_LEAF	Debit	+	TRUE		
590	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		425	Avansuri acordate personalului		Creanțe brute	ACCOUNT_LEAF	Debit	+	TRUE		
600	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		461	Debitori diverși		Creanțe brute	ACCOUNT_LEAF	Debit	+	TRUE		
610	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Creanțe brute		471	Cheltuieli înregistrate în avans		Creanțe brute / active curente	ACCOUNT_LEAF	Debit	+	TRUE		Active curente preplătite
620	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Ajustare de valoare a creanțelor						REPORT_GROUP	Credit	-	FALSE		
630	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Ajustare de valoare a creanțelor		490	Ajustări pentru deprecierea creanțelor reprezentând avansuri acordate furnizorilor		Ajustare de valoare a creanțelor	ACCOUNT_GROUP	Credit	-	FALSE		Contra-activ / ajustare pentru depreciere
640	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Ajustare de valoare a creanțelor	490	4901	Ajustări pentru deprecierea creanțelor aferente cumpărărilor de bunuri de natura stocurilor	490	Ajustări pentru deprecierea creanțelor reprezentând avansuri acordate furnizorilor	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ / ajustare pentru depreciere
650	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Ajustare de valoare a creanțelor	490	4902	Ajustări pentru deprecierea creanțelor aferente prestărilor de servicii	490	Ajustări pentru deprecierea creanțelor reprezentând avansuri acordate furnizorilor	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ / ajustare pentru depreciere
660	Balance Sheet	Active	Active curente / circulante	Creanțe nete	Ajustare de valoare a creanțelor		491	Ajustări pentru deprecierea creanțelor - clienți		Ajustare de valoare a creanțelor	ACCOUNT_LEAF	Credit	-	TRUE		Contra-activ / ajustare pentru depreciere
670	Balance Sheet	Active	Active curente / circulante	Sold numerar							REPORT_GROUP	Debit	+	FALSE		
680	Balance Sheet	Active	Active curente / circulante	Sold numerar			512	Conturi curente la bănci		Sold numerar	ACCOUNT_GROUP	Debit	+	FALSE		
690	Balance Sheet	Active	Active curente / circulante	Sold numerar		512	5121	Conturi la bănci în lei	512	Conturi curente la bănci	ACCOUNT_LEAF	Debit	+	TRUE		
700	Balance Sheet	Active	Active curente / circulante	Sold numerar		512	5124	Conturi la bănci în valută	512	Conturi curente la bănci	ACCOUNT_LEAF	Debit	+	TRUE		
710	Balance Sheet	Active	Active curente / circulante	Sold numerar			531	Casa		Sold numerar	ACCOUNT_GROUP	Debit	+	FALSE		
720	Balance Sheet	Active	Active curente / circulante	Sold numerar		531	5311	Casa în lei	531	Casa	ACCOUNT_LEAF	Debit	+	TRUE		
730	Balance Sheet	Active	Active curente / circulante	Sold numerar		531	5314	Casa în valută	531	Casa	ACCOUNT_LEAF	Debit	+	TRUE		
740	Balance Sheet	Active	Active curente / circulante	Alte active curente							REPORT_GROUP	Debit	+	FALSE		
750	Balance Sheet	Active	Active curente / circulante	Alte active curente			532	Alte valori		Alte active curente	ACCOUNT_GROUP	Debit	+	FALSE		
760	Balance Sheet	Active	Active curente / circulante	Alte active curente		532	5328	Alte valori	532	Alte valori	ACCOUNT_LEAF	Debit	+	TRUE		
770	Balance Sheet	Active	Active curente / circulante	Alte active curente			542	Avansuri de trezorerie		Alte active curente	ACCOUNT_LEAF	Debit	+	TRUE		
780	Balance Sheet	Active	Active curente / circulante	Investiții financiare pe termen scurt							REPORT_GROUP	Debit	+	FALSE		
790	Balance Sheet	Active	Active curente / circulante	Investiții financiare pe termen scurt			508	Alte investiții pe termen scurt și creanțe asimilate		Investiții financiare pe termen scurt	ACCOUNT_GROUP	Debit	+	FALSE		
800	Balance Sheet	Active	Active curente / circulante	Investiții financiare pe termen scurt		508	5081	Alte titluri de plasament	508	Alte investiții pe termen scurt și creanțe asimilate	ACCOUNT_LEAF	Debit	+	TRUE		
805	Balance Sheet	Active	Active totale								CALCULATED	Debit	calculated	FALSE	Active imobilizate + Active curente / circulante	Câmp calculat observat în raport; total active bilanțiere
810	Balance Sheet	Pasive	Datorii pe termen scurt								REPORT_GROUP	Credit	+	FALSE		
820	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați							REPORT_GROUP	Credit	+	FALSE		
830	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați			421	Personal - salarii datorate		Sume datorate către / pentru salariați	ACCOUNT_LEAF	Credit	+	TRUE		
840	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați			423	Personal - ajutoare materiale datorate		Sume datorate către / pentru salariați	ACCOUNT_LEAF	Credit	+	TRUE		
850	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați			427	Rețineri din salarii datorate terților		Sume datorate către / pentru salariați	ACCOUNT_LEAF	Credit	+	TRUE		
860	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați			428	Alte datorii și creanțe în legătură cu personalul		Sume datorate către / pentru salariați	ACCOUNT_GROUP	Credit	+	FALSE		
870	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați		428	4281	Alte datorii în legătură cu personalul	428	Alte datorii și creanțe în legătură cu personalul	ACCOUNT_LEAF	Credit	+	TRUE		
880	Balance Sheet	Pasive	Datorii pe termen scurt	Sume datorate către / pentru salariați		428	4282	Alte creanțe în legătură cu personalul	428	Alte datorii și creanțe în legătură cu personalul	ACCOUNT_LEAF	Debit	-	TRUE		Creanță; dacă se afișează în pasive, se scade
890	Balance Sheet	Pasive	Datorii pe termen scurt	Împrumuturi pe termen scurt							REPORT_GROUP	Credit	+	FALSE		
900	Balance Sheet	Pasive	Datorii pe termen scurt	Împrumuturi pe termen scurt			519	Credite bancare pe termen scurt		Împrumuturi pe termen scurt	ACCOUNT_GROUP	Credit	+	FALSE		
910	Balance Sheet	Pasive	Datorii pe termen scurt	Împrumuturi pe termen scurt		519	5191	Credite bancare pe termen scurt	519	Credite bancare pe termen scurt	ACCOUNT_LEAF	Credit	+	TRUE		
920	Balance Sheet	Pasive	Datorii pe termen scurt	Împrumuturi pe termen scurt		519	5198	Dobânzi aferente creditelor bancare pe termen scurt	519	Credite bancare pe termen scurt	ACCOUNT_LEAF	Credit	+	TRUE		
930	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat							REPORT_GROUP	Credit	+	FALSE		
940	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			431	Asigurări sociale		Datorii către bugetele de stat	ACCOUNT_GROUP	Credit	+	FALSE		
950	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		431	4311	Contribuția unității la asigurările sociale	431	Asigurări sociale	ACCOUNT_LEAF	Credit	+	TRUE		
960	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		431	4312	Contribuția personalului la asigurările sociale	431	Asigurări sociale	ACCOUNT_LEAF	Credit	+	TRUE		
970	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		431	4313	Contribuția angajatorului pentru asigurările sociale de sănătate	431	Asigurări sociale	ACCOUNT_LEAF	Credit	+	TRUE		
980	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		431	4314	Contribuția angajaților pentru asigurările sociale de sănătate	431	Asigurări sociale	ACCOUNT_LEAF	Credit	+	TRUE		
990	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		431	4315	Contribuția de asigurări sociale	431	Asigurări sociale	ACCOUNT_LEAF	Credit	+	TRUE		
1000	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		431	4316	Contribuția de asigurări sociale de sănătate	431	Asigurări sociale	ACCOUNT_LEAF	Credit	+	TRUE		
1010	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			436	Contribuția asiguratorie pentru muncă		Datorii către bugetele de stat	ACCOUNT_LEAF	Credit	+	TRUE		
1020	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			437	Ajutor de șomaj		Datorii către bugetele de stat	ACCOUNT_GROUP	Credit	+	FALSE		
1030	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		437	4371	Contribuția unității la fondul de șomaj	437	Ajutor de șomaj	ACCOUNT_LEAF	Credit	+	TRUE		
1040	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		437	4372	Contribuția personalului la fondul de șomaj	437	Ajutor de șomaj	ACCOUNT_LEAF	Credit	+	TRUE		
1050	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		437	4373	Fond garantare creanțe comerciale	437	Ajutor de șomaj	ACCOUNT_LEAF	Credit	+	TRUE		
1060	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			438	Alte datorii și creanțe sociale		Datorii către bugetele de stat	ACCOUNT_GROUP	Credit	+	FALSE		
1070	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		438	4382	Alte creanțe sociale	438	Alte datorii și creanțe sociale	ACCOUNT_LEAF	Debit	-	TRUE		Creanță socială; dacă se afișează în pasive, se scade
1080	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			441	Impozitul pe profit / venit		Datorii către bugetele de stat	ACCOUNT_GROUP	Credit	+	FALSE		
1090	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		441	4411	Impozitul pe profit	441	Impozitul pe profit / venit	ACCOUNT_LEAF	Credit	+	TRUE		
1100	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			442	Taxa pe valoarea adăugată		Datorii către bugetele de stat	ACCOUNT_GROUP	Mixt	+/-	FALSE		Cont mixt TVA; clasificarea depinde de sold
1110	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		442	4423	TVA de plată	442	Taxa pe valoarea adăugată	ACCOUNT_LEAF	Credit	+	TRUE		Datorie fiscală
1120	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		442	4424	TVA de recuperat	442	Taxa pe valoarea adăugată	ACCOUNT_LEAF	Debit	-	TRUE		Creanță fiscală; dacă se afișează în pasive, se scade
1130	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		442	4426	TVA deductibilă	442	Taxa pe valoarea adăugată	ACCOUNT_LEAF	Debit	-	TRUE		Creanță fiscală / cont intermediar TVA
1140	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		442	4427	TVA colectată	442	Taxa pe valoarea adăugată	ACCOUNT_LEAF	Credit	+	TRUE		Datorie fiscală / cont intermediar TVA
1150	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		442	4428	TVA neexigibilă	442	Taxa pe valoarea adăugată	ACCOUNT_LEAF	Mixt	+/-	TRUE		Poate avea tratament diferit în funcție de sold și analitic
1160	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			444	Impozitul pe veniturile de natura salariilor		Datorii către bugetele de stat	ACCOUNT_LEAF	Credit	+	TRUE		
1170	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			446	Alte impozite, taxe și vărsăminte asimilate		Datorii către bugetele de stat	ACCOUNT_LEAF	Credit	+	TRUE		
1180	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			447	Fonduri speciale - taxe și vărsăminte asimilate		Datorii către bugetele de stat	ACCOUNT_LEAF	Credit	+	TRUE		
1190	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat			448	Alte datorii și creanțe cu bugetul statului		Datorii către bugetele de stat	ACCOUNT_GROUP	Credit	+	FALSE		
1200	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		448	4481	Alte datorii față de bugetul statului	448	Alte datorii și creanțe cu bugetul statului	ACCOUNT_LEAF	Credit	+	TRUE		
1210	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii către bugetele de stat		448	4482	Alte creanțe privind bugetul statului	448	Alte datorii și creanțe cu bugetul statului	ACCOUNT_LEAF	Debit	-	TRUE		Creanță fiscală; dacă se afișează în pasive, se scade
1220	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți							REPORT_GROUP	Credit	+	FALSE		
1230	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			401	Furnizori		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1240	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			403	Efecte de plătit		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1250	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			404	Furnizori de imobilizări		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1260	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			408	Furnizori - facturi nesosite		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1270	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			419	Clienți - creditori		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1280	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			462	Creditori diverși		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1290	Balance Sheet	Pasive	Datorii pe termen scurt	Datorii comerciale curente către furnizori / clienți			473	Decontări din operațiuni în curs de clarificare		Datorii comerciale curente către furnizori / clienți	ACCOUNT_LEAF	Credit	+	TRUE		
1300	Balance Sheet	Pasive	Datorii pe termen lung								REPORT_GROUP	Credit	+	FALSE		
1310	Balance Sheet	Pasive	Datorii pe termen lung	Datorii financiare pe termen lung							REPORT_GROUP	Credit	+	FALSE		
1320	Balance Sheet	Pasive	Datorii pe termen lung	Datorii financiare pe termen lung			162	Credite bancare pe termen lung		Credite bancare pe termen lung	ACCOUNT_GROUP	Credit	+	FALSE		
1330	Balance Sheet	Pasive	Datorii pe termen lung	Datorii financiare pe termen lung		162	1621	Credite bancare pe termen lung	162	Credite bancare pe termen lung	ACCOUNT_LEAF	Credit	+	TRUE		
1340	Balance Sheet	Pasive	Datorii pe termen lung	Datorii financiare pe termen lung			167	Alte împrumuturi și datorii asimilate		Datorii financiare pe termen lung	ACCOUNT_LEAF	Credit	+	TRUE		
1350	Balance Sheet	Pasive	Datorii pe termen lung	Provizioane							REPORT_GROUP	Credit	+	FALSE		
1360	Balance Sheet	Pasive	Datorii pe termen lung	Provizioane			151	Provizioane		Provizioane	ACCOUNT_GROUP	Credit	+	FALSE		
1370	Balance Sheet	Pasive	Datorii pe termen lung	Provizioane		151	1511	Provizioane pentru litigii	151	Provizioane	ACCOUNT_LEAF	Credit	+	TRUE		
1380	Balance Sheet	Pasive	Datorii pe termen lung	Provizioane		151	1512	Provizioane pentru garanții acordate clienților	151	Provizioane	ACCOUNT_LEAF	Credit	+	TRUE		
1390	Balance Sheet	Pasive	Datorii pe termen lung	Provizioane		151	1518	Alte provizioane	151	Provizioane	ACCOUNT_LEAF	Credit	+	TRUE		
1400	Balance Sheet	Pasive	Total capital propriu și quasi-capital								REPORT_GROUP	Credit	+	FALSE		
1410	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Quasi-capitaluri	Subvenții						REPORT_GROUP	Credit	+	FALSE		
1420	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Quasi-capitaluri	Subvenții		475	Subvenții pentru investiții		Subvenții	ACCOUNT_GROUP	Credit	+	FALSE		
1430	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Quasi-capitaluri	Subvenții	475	4751	Subvenții guvernamentale pentru investiții	475	Subvenții pentru investiții	ACCOUNT_LEAF	Credit	+	TRUE		
1440	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu							REPORT_GROUP	Credit	+	FALSE		
1450	Balance Sheet	Pasive	Total capital propriu și quasi-capital	Capital propriu	Profit sau pierdere		121	Profit sau pierdere		Profit sau pierdere	ACCOUNT_LEAF	Mixt	+/-	TRUE		Sold creditor = profit; sold debitor = pierdere
